Time    Source  Destination PacketType  FlitID  PacketID    FlitPosition    IsHead  IsTail  
356     38      22          ANY         2501    2501        0/0             1       1       
358     39      12          ANY         2597    2597        0/0             1       1       
359     40      12          ANY         2693    2693        0/0             1       1       
361     41      0           ANY         2949    2949        0/0             1       1       
362     42      56          ANY         3237    3237        0/0             1       1       
364     43      22          ANY         3333    3333        0/0             1       1       
366     44      0           ANY         3429    3429        0/0             1       1       
367     45      27          ANY         5409    5409        0/0             1       1       
369     46      12          ANY         5505    5505        0/0             1       1       
370     47      13          ANY         5697    5697        0/0             1       1       
372     48      0           ANY         5793    5793        0/0             1       1       
373     49      14          ANY         6177    6177        0/0             1       1       
375     54      28          ANY         6273    6273        0/0             1       1       
377     55      49          ANY         6465    6465        0/0             1       1       
378     56      0           ANY         6529    6529        0/0             1       1       
380     57      3           ANY         6913    6913        0/0             1       1       
381     61      13          ANY         7009    7009        0/0             1       1       
383     62      14          ANY         7105    7105        0/0             1       1       
384     1       23          ANY         6       6           0/0             1       1       
386     5       50          ANY         102     102         0/0             1       1       
388     6       17          ANY         166     166         0/0             1       1       
389     7       34          ANY         262     262         0/0             1       1       
391     9       2           ANY         358     358         0/0             1       1       
392     10      28          ANY         454     454         0/0             1       1       
394     13      22          ANY         550     550         0/0             1       1       
395     16      56          ANY         646     646         0/0             1       1       
397     18      23          ANY         742     742         0/0             1       1       
398     19      58          ANY         838     838         0/0             1       1       
400     20      13          ANY         934     934         0/0             1       1       
402     22      56          ANY         1126    1126        0/0             1       1       
403     23      33          ANY         1190    1190        0/0             1       1       
405     26      28          ANY         1350    1350        0/0             1       1       
406     27      34          ANY         1446    1446        0/0             1       1       
408     28      53          ANY         1542    1542        0/0             1       1       
409     29      2           ANY         1638    1638        0/0             1       1       
411     30      27          ANY         1830    1830        0/0             1       1       
412     33      18          ANY         1926    1926        0/0             1       1       
414     34      21          ANY         2118    2118        0/0             1       1       
416     35      43          ANY         2214    2214        0/0             1       1       
417     36      15          ANY         2310    2310        0/0             1       1       
419     37      30          ANY         2406    2406        0/0             1       1       
420     38      22          ANY         2502    2502        0/0             1       1       
422     39      12          ANY         2598    2598        0/0             1       1       
423     40      12          ANY         2694    2694        0/0             1       1       
425     41      0           ANY         2950    2950        0/0             1       1       
427     42      56          ANY         3238    3238        0/0             1       1       
428     43      22          ANY         3334    3334        0/0             1       1       
430     44      0           ANY         3430    3430        0/0             1       1       
431     45      27          ANY         5410    5410        0/0             1       1       
433     46      12          ANY         5506    5506        0/0             1       1       
434     47      13          ANY         5698    5698        0/0             1       1       
436     48      0           ANY         5794    5794        0/0             1       1       
438     49      14          ANY         6178    6178        0/0             1       1       
439     54      28          ANY         6274    6274        0/0             1       1       
441     55      49          ANY         6466    6466        0/0             1       1       
442     56      0           ANY         6530    6530        0/0             1       1       
444     57      3           ANY         6914    6914        0/0             1       1       
445     61      13          ANY         7010    7010        0/0             1       1       
447     62      14          ANY         7106    7106        0/0             1       1       
448     1       23          ANY         7       7           0/0             1       1       
450     5       50          ANY         103     103         0/0             1       1       
452     6       17          ANY         167     167         0/0             1       1       
453     7       34          ANY         263     263         0/0             1       1       
455     9       2           ANY         359     359         0/0             1       1       
456     10      28          ANY         455     455         0/0             1       1       
458     13      22          ANY         551     551         0/0             1       1       
459     16      56          ANY         647     647         0/0             1       1       
461     18      23          ANY         743     743         0/0             1       1       
462     19      58          ANY         839     839         0/0             1       1       
464     20      13          ANY         935     935         0/0             1       1       
466     22      56          ANY         1127    1127        0/0             1       1       
467     23      33          ANY         1191    1191        0/0             1       1       
469     26      28          ANY         1351    1351        0/0             1       1       
470     27      34          ANY         1447    1447        0/0             1       1       
472     28      53          ANY         1543    1543        0/0             1       1       
473     29      2           ANY         1639    1639        0/0             1       1       
475     30      27          ANY         1831    1831        0/0             1       1       
477     33      18          ANY         1927    1927        0/0             1       1       
478     34      21          ANY         2119    2119        0/0             1       1       
480     35      43          ANY         2215    2215        0/0             1       1       
481     36      15          ANY         2311    2311        0/0             1       1       
483     37      30          ANY         2407    2407        0/0             1       1       
484     38      22          ANY         2503    2503        0/0             1       1       
486     39      12          ANY         2599    2599        0/0             1       1       
488     40      12          ANY         2695    2695        0/0             1       1       
489     41      0           ANY         2951    2951        0/0             1       1       
491     42      56          ANY         3239    3239        0/0             1       1       
492     43      22          ANY         3335    3335        0/0             1       1       
494     44      0           ANY         3431    3431        0/0             1       1       
495     45      27          ANY         5411    5411        0/0             1       1       
497     46      12          ANY         5507    5507        0/0             1       1       
498     47      13          ANY         5699    5699        0/0             1       1       
500     48      0           ANY         5795    5795        0/0             1       1       
502     49      14          ANY         6179    6179        0/0             1       1       
503     54      28          ANY         6275    6275        0/0             1       1       
505     55      49          ANY         6467    6467        0/0             1       1       
506     56      0           ANY         6531    6531        0/0             1       1       
508     57      3           ANY         6915    6915        0/0             1       1       
509     61      13          ANY         7011    7011        0/0             1       1       
511     62      14          ANY         7107    7107        0/0             1       1       
512     1       23          ANY         8       8           0/0             1       1       
514     5       50          ANY         104     104         0/0             1       1       
516     6       17          ANY         168     168         0/0             1       1       
517     7       34          ANY         264     264         0/0             1       1       
519     9       2           ANY         360     360         0/0             1       1       
520     10      28          ANY         456     456         0/0             1       1       
522     13      22          ANY         552     552         0/0             1       1       
523     16      56          ANY         648     648         0/0             1       1       
525     18      23          ANY         744     744         0/0             1       1       
527     19      58          ANY         840     840         0/0             1       1       
528     20      13          ANY         936     936         0/0             1       1       
530     22      56          ANY         1128    1128        0/0             1       1       
531     23      33          ANY         1192    1192        0/0             1       1       
533     26      28          ANY         1352    1352        0/0             1       1       
534     27      34          ANY         1448    1448        0/0             1       1       
536     28      53          ANY         1544    1544        0/0             1       1       
538     29      2           ANY         1640    1640        0/0             1       1       
539     30      27          ANY         1832    1832        0/0             1       1       
541     33      18          ANY         1928    1928        0/0             1       1       
542     34      21          ANY         2120    2120        0/0             1       1       
544     35      43          ANY         2216    2216        0/0             1       1       
545     36      15          ANY         2312    2312        0/0             1       1       
547     37      30          ANY         2408    2408        0/0             1       1       
548     38      22          ANY         2504    2504        0/0             1       1       
550     39      12          ANY         2600    2600        0/0             1       1       
552     40      12          ANY         2696    2696        0/0             1       1       
553     41      0           ANY         2952    2952        0/0             1       1       
555     42      56          ANY         3240    3240        0/0             1       1       
556     43      22          ANY         3336    3336        0/0             1       1       
558     44      0           ANY         3432    3432        0/0             1       1       
559     45      27          ANY         5412    5412        0/0             1       1       
561     46      12          ANY         5508    5508        0/0             1       1       
562     47      13          ANY         5700    5700        0/0             1       1       
564     48      0           ANY         5796    5796        0/0             1       1       
566     49      14          ANY         6180    6180        0/0             1       1       
567     54      28          ANY         6276    6276        0/0             1       1       
569     55      49          ANY         6468    6468        0/0             1       1       
570     56      0           ANY         6532    6532        0/0             1       1       
572     57      3           ANY         6916    6916        0/0             1       1       
573     61      13          ANY         7012    7012        0/0             1       1       
575     62      14          ANY         7108    7108        0/0             1       1       
577     1       23          ANY         9       9           0/0             1       1       
578     5       50          ANY         105     105         0/0             1       1       
580     6       17          ANY         169     169         0/0             1       1       
581     7       34          ANY         265     265         0/0             1       1       
583     9       2           ANY         361     361         0/0             1       1       
584     10      28          ANY         457     457         0/0             1       1       
586     13      22          ANY         553     553         0/0             1       1       
588     16      56          ANY         649     649         0/0             1       1       
589     18      23          ANY         745     745         0/0             1       1       
591     19      58          ANY         841     841         0/0             1       1       
592     20      13          ANY         937     937         0/0             1       1       
594     22      56          ANY         1129    1129        0/0             1       1       
595     23      33          ANY         1193    1193        0/0             1       1       
597     26      28          ANY         1353    1353        0/0             1       1       
598     27      34          ANY         1449    1449        0/0             1       1       
600     28      53          ANY         1545    1545        0/0             1       1       
602     29      2           ANY         1641    1641        0/0             1       1       
603     30      27          ANY         1833    1833        0/0             1       1       
605     33      18          ANY         1929    1929        0/0             1       1       
606     34      21          ANY         2121    2121        0/0             1       1       
608     35      43          ANY         2217    2217        0/0             1       1       
609     36      15          ANY         2313    2313        0/0             1       1       
611     37      30          ANY         2409    2409        0/0             1       1       
612     38      22          ANY         2505    2505        0/0             1       1       
614     39      12          ANY         2601    2601        0/0             1       1       
616     40      12          ANY         2697    2697        0/0             1       1       
617     41      0           ANY         2953    2953        0/0             1       1       
619     42      56          ANY         3241    3241        0/0             1       1       
620     43      22          ANY         3337    3337        0/0             1       1       
622     44      0           ANY         3433    3433        0/0             1       1       
623     45      27          ANY         5413    5413        0/0             1       1       
625     46      12          ANY         5509    5509        0/0             1       1       
627     47      13          ANY         5701    5701        0/0             1       1       
628     48      0           ANY         5797    5797        0/0             1       1       
630     49      14          ANY         6181    6181        0/0             1       1       
631     54      28          ANY         6277    6277        0/0             1       1       
633     55      49          ANY         6469    6469        0/0             1       1       
634     56      0           ANY         6533    6533        0/0             1       1       
636     57      3           ANY         6917    6917        0/0             1       1       
638     61      13          ANY         7013    7013        0/0             1       1       
639     62      14          ANY         7109    7109        0/0             1       1       
641     1       23          ANY         10      10          0/0             1       1       
642     5       50          ANY         106     106         0/0             1       1       
644     6       17          ANY         170     170         0/0             1       1       
645     7       34          ANY         266     266         0/0             1       1       
647     9       2           ANY         362     362         0/0             1       1       
648     10      28          ANY         458     458         0/0             1       1       
650     13      22          ANY         554     554         0/0             1       1       
652     16      56          ANY         650     650         0/0             1       1       
653     18      23          ANY         746     746         0/0             1       1       
655     19      58          ANY         842     842         0/0             1       1       
656     20      13          ANY         938     938         0/0             1       1       
658     22      56          ANY         1130    1130        0/0             1       1       
659     23      33          ANY         1194    1194        0/0             1       1       
661     26      28          ANY         1354    1354        0/0             1       1       
662     27      34          ANY         1450    1450        0/0             1       1       
664     28      53          ANY         1546    1546        0/0             1       1       
666     29      2           ANY         1642    1642        0/0             1       1       
667     30      27          ANY         1834    1834        0/0             1       1       
669     33      18          ANY         1930    1930        0/0             1       1       
670     34      21          ANY         2122    2122        0/0             1       1       
672     35      43          ANY         2218    2218        0/0             1       1       
673     36      15          ANY         2314    2314        0/0             1       1       
675     37      30          ANY         2410    2410        0/0             1       1       
677     38      22          ANY         2506    2506        0/0             1       1       
678     39      12          ANY         2602    2602        0/0             1       1       
680     40      12          ANY         2698    2698        0/0             1       1       
681     41      0           ANY         2954    2954        0/0             1       1       
683     42      56          ANY         3242    3242        0/0             1       1       
684     43      22          ANY         3338    3338        0/0             1       1       
686     44      0           ANY         3434    3434        0/0             1       1       
688     45      27          ANY         5414    5414        0/0             1       1       
689     46      12          ANY         5510    5510        0/0             1       1       
691     47      13          ANY         5702    5702        0/0             1       1       
692     48      0           ANY         5798    5798        0/0             1       1       
694     49      14          ANY         6182    6182        0/0             1       1       
695     54      28          ANY         6278    6278        0/0             1       1       
697     55      49          ANY         6470    6470        0/0             1       1       
698     56      0           ANY         6534    6534        0/0             1       1       
700     57      3           ANY         6918    6918        0/0             1       1       
702     61      13          ANY         7014    7014        0/0             1       1       
703     62      14          ANY         7110    7110        0/0             1       1       
705     1       23          ANY         11      11          0/0             1       1       
706     5       50          ANY         107     107         0/0             1       1       
708     6       17          ANY         171     171         0/0             1       1       
709     7       34          ANY         267     267         0/0             1       1       
711     9       2           ANY         363     363         0/0             1       1       
712     10      28          ANY         459     459         0/0             1       1       
714     13      22          ANY         555     555         0/0             1       1       
716     16      56          ANY         651     651         0/0             1       1       
717     18      23          ANY         747     747         0/0             1       1       
719     19      58          ANY         843     843         0/0             1       1       
720     20      13          ANY         939     939         0/0             1       1       
722     22      56          ANY         1131    1131        0/0             1       1       
723     23      33          ANY         1195    1195        0/0             1       1       
725     26      28          ANY         1355    1355        0/0             1       1       
727     27      34          ANY         1451    1451        0/0             1       1       
728     28      53          ANY         1547    1547        0/0             1       1       
730     29      2           ANY         1643    1643        0/0             1       1       
731     30      27          ANY         1835    1835        0/0             1       1       
733     33      18          ANY         1931    1931        0/0             1       1       
734     34      21          ANY         2123    2123        0/0             1       1       
736     35      43          ANY         2219    2219        0/0             1       1       
738     36      15          ANY         2315    2315        0/0             1       1       
739     37      30          ANY         2411    2411        0/0             1       1       
741     38      22          ANY         2507    2507        0/0             1       1       
742     39      12          ANY         2603    2603        0/0             1       1       
744     40      12          ANY         2699    2699        0/0             1       1       
745     41      0           ANY         2955    2955        0/0             1       1       
747     42      56          ANY         3243    3243        0/0             1       1       
748     43      22          ANY         3339    3339        0/0             1       1       
750     44      0           ANY         3435    3435        0/0             1       1       
752     45      27          ANY         5415    5415        0/0             1       1       
753     46      12          ANY         5511    5511        0/0             1       1       
