Time    Source  Destination PacketType  FlitID  PacketID    FlitPosition    IsHead  IsTail  
355     1       59          ANY         227     16          3/13            0       0       
356     1       59          ANY         228     16          4/13            0       0       
358     1       59          ANY         229     16          5/13            0       0       
359     1       59          ANY         230     16          6/13            0       0       
361     1       59          ANY         231     16          7/13            0       0       
362     1       59          ANY         232     16          8/13            0       0       
364     1       59          ANY         233     16          9/13            0       0       
366     1       59          ANY         234     16          10/13           0       0       
367     1       59          ANY         235     16          11/13           0       0       
369     1       59          ANY         236     16          12/13           0       0       
370     1       59          ANY         237     16          13/13           0       1       
372     1       46          ANY         238     17          0/13            1       0       
373     1       46          ANY         239     17          1/13            0       0       
375     1       46          ANY         240     17          2/13            0       0       
377     1       46          ANY         241     17          3/13            0       0       
378     1       46          ANY         242     17          4/13            0       0       
380     1       46          ANY         243     17          5/13            0       0       
381     1       46          ANY         244     17          6/13            0       0       
383     1       46          ANY         245     17          7/13            0       0       
384     1       46          ANY         246     17          8/13            0       0       
386     1       46          ANY         247     17          9/13            0       0       
388     1       46          ANY         248     17          10/13           0       0       
389     1       46          ANY         249     17          11/13           0       0       
391     1       46          ANY         250     17          12/13           0       0       
392     1       46          ANY         251     17          13/13           0       1       
394     1       35          ANY         252     18          0/13            1       0       
395     1       35          ANY         253     18          1/13            0       0       
397     1       35          ANY         254     18          2/13            0       0       
398     1       35          ANY         255     18          3/13            0       0       
400     1       35          ANY         256     18          4/13            0       0       
402     1       35          ANY         257     18          5/13            0       0       
403     1       35          ANY         258     18          6/13            0       0       
405     1       35          ANY         259     18          7/13            0       0       
406     1       35          ANY         260     18          8/13            0       0       
408     1       35          ANY         261     18          9/13            0       0       
409     1       35          ANY         262     18          10/13           0       0       
411     1       35          ANY         263     18          11/13           0       0       
412     1       35          ANY         264     18          12/13           0       0       
414     1       35          ANY         265     18          13/13           0       1       
416     1       36          ANY         266     19          0/13            1       0       
417     1       36          ANY         267     19          1/13            0       0       
419     1       36          ANY         268     19          2/13            0       0       
420     1       36          ANY         269     19          3/13            0       0       
422     1       36          ANY         270     19          4/13            0       0       
423     1       36          ANY         271     19          5/13            0       0       
425     1       36          ANY         272     19          6/13            0       0       
427     1       36          ANY         273     19          7/13            0       0       
428     1       36          ANY         274     19          8/13            0       0       
430     1       36          ANY         275     19          9/13            0       0       
431     1       36          ANY         276     19          10/13           0       0       
433     1       36          ANY         277     19          11/13           0       0       
434     1       36          ANY         278     19          12/13           0       0       
436     1       36          ANY         279     19          13/13           0       1       
438     1       33          ANY         280     20          0/13            1       0       
439     1       33          ANY         281     20          1/13            0       0       
441     1       33          ANY         282     20          2/13            0       0       
442     1       33          ANY         283     20          3/13            0       0       
444     1       33          ANY         284     20          4/13            0       0       
445     1       33          ANY         285     20          5/13            0       0       
447     1       33          ANY         286     20          6/13            0       0       
448     1       33          ANY         287     20          7/13            0       0       
450     1       33          ANY         288     20          8/13            0       0       
452     1       33          ANY         289     20          9/13            0       0       
453     1       33          ANY         290     20          10/13           0       0       
455     1       33          ANY         291     20          11/13           0       0       
456     1       33          ANY         292     20          12/13           0       0       
458     1       33          ANY         293     20          13/13           0       1       
459     1       6           ANY         294     21          0/13            1       0       
461     1       6           ANY         295     21          1/13            0       0       
462     1       6           ANY         296     21          2/13            0       0       
464     1       6           ANY         297     21          3/13            0       0       
466     1       6           ANY         298     21          4/13            0       0       
467     1       6           ANY         299     21          5/13            0       0       
469     1       6           ANY         300     21          6/13            0       0       
470     1       6           ANY         301     21          7/13            0       0       
472     1       6           ANY         302     21          8/13            0       0       
473     1       6           ANY         303     21          9/13            0       0       
475     1       6           ANY         304     21          10/13           0       0       
477     1       6           ANY         305     21          11/13           0       0       
478     1       6           ANY         306     21          12/13           0       0       
480     1       6           ANY         307     21          13/13           0       1       
481     1       7           ANY         308     22          0/13            1       0       
483     1       7           ANY         309     22          1/13            0       0       
484     1       7           ANY         310     22          2/13            0       0       
486     1       7           ANY         311     22          3/13            0       0       
488     1       7           ANY         312     22          4/13            0       0       
489     1       7           ANY         313     22          5/13            0       0       
491     1       7           ANY         314     22          6/13            0       0       
492     1       7           ANY         315     22          7/13            0       0       
494     1       7           ANY         316     22          8/13            0       0       
495     1       7           ANY         317     22          9/13            0       0       
497     1       7           ANY         318     22          10/13           0       0       
498     1       7           ANY         319     22          11/13           0       0       
500     1       7           ANY         320     22          12/13           0       0       
502     1       7           ANY         321     22          13/13           0       1       
503     1       9           ANY         322     23          0/13            1       0       
505     1       9           ANY         323     23          1/13            0       0       
506     1       9           ANY         324     23          2/13            0       0       
508     1       9           ANY         325     23          3/13            0       0       
509     1       9           ANY         326     23          4/13            0       0       
511     1       9           ANY         327     23          5/13            0       0       
512     1       9           ANY         328     23          6/13            0       0       
514     1       9           ANY         329     23          7/13            0       0       
516     1       9           ANY         330     23          8/13            0       0       
517     1       9           ANY         331     23          9/13            0       0       
519     1       9           ANY         332     23          10/13           0       0       
520     1       9           ANY         333     23          11/13           0       0       
522     1       9           ANY         334     23          12/13           0       0       
523     1       9           ANY         335     23          13/13           0       1       
525     1       10          ANY         336     24          0/13            1       0       
527     1       10          ANY         337     24          1/13            0       0       
528     1       10          ANY         338     24          2/13            0       0       
530     1       10          ANY         339     24          3/13            0       0       
531     1       10          ANY         340     24          4/13            0       0       
533     1       10          ANY         341     24          5/13            0       0       
534     1       10          ANY         342     24          6/13            0       0       
536     1       10          ANY         343     24          7/13            0       0       
538     1       10          ANY         344     24          8/13            0       0       
539     1       10          ANY         345     24          9/13            0       0       
541     1       10          ANY         346     24          10/13           0       0       
542     1       10          ANY         347     24          11/13           0       0       
544     1       10          ANY         348     24          12/13           0       0       
545     1       10          ANY         349     24          13/13           0       1       
547     1       13          ANY         350     25          0/13            1       0       
548     1       13          ANY         351     25          1/13            0       0       
550     1       13          ANY         352     25          2/13            0       0       
552     1       13          ANY         353     25          3/13            0       0       
553     1       13          ANY         354     25          4/13            0       0       
555     1       13          ANY         355     25          5/13            0       0       
556     1       13          ANY         356     25          6/13            0       0       
558     1       13          ANY         357     25          7/13            0       0       
559     1       13          ANY         358     25          8/13            0       0       
561     1       13          ANY         359     25          9/13            0       0       
562     1       13          ANY         360     25          10/13           0       0       
564     1       13          ANY         361     25          11/13           0       0       
566     1       13          ANY         362     25          12/13           0       0       
567     1       13          ANY         363     25          13/13           0       1       
569     1       16          ANY         364     26          0/13            1       0       
570     1       16          ANY         365     26          1/13            0       0       
572     1       16          ANY         366     26          2/13            0       0       
573     1       16          ANY         367     26          3/13            0       0       
575     1       16          ANY         368     26          4/13            0       0       
577     1       16          ANY         369     26          5/13            0       0       
578     1       16          ANY         370     26          6/13            0       0       
580     1       16          ANY         371     26          7/13            0       0       
581     1       16          ANY         372     26          8/13            0       0       
583     1       16          ANY         373     26          9/13            0       0       
584     1       16          ANY         374     26          10/13           0       0       
586     1       16          ANY         375     26          11/13           0       0       
588     1       16          ANY         376     26          12/13           0       0       
589     1       16          ANY         377     26          13/13           0       1       
591     1       18          ANY         378     27          0/13            1       0       
592     1       18          ANY         379     27          1/13            0       0       
594     1       18          ANY         380     27          2/13            0       0       
595     1       18          ANY         381     27          3/13            0       0       
597     1       18          ANY         382     27          4/13            0       0       
598     1       18          ANY         383     27          5/13            0       0       
600     1       18          ANY         384     27          6/13            0       0       
602     1       18          ANY         385     27          7/13            0       0       
603     1       18          ANY         386     27          8/13            0       0       
605     1       18          ANY         387     27          9/13            0       0       
606     1       18          ANY         388     27          10/13           0       0       
608     1       18          ANY         389     27          11/13           0       0       
609     1       18          ANY         390     27          12/13           0       0       
611     1       18          ANY         391     27          13/13           0       1       
612     1       34          ANY         392     28          0/13            1       0       
614     1       34          ANY         393     28          1/13            0       0       
616     1       34          ANY         394     28          2/13            0       0       
617     1       34          ANY         395     28          3/13            0       0       
619     1       34          ANY         396     28          4/13            0       0       
620     1       34          ANY         397     28          5/13            0       0       
622     1       34          ANY         398     28          6/13            0       0       
623     1       34          ANY         399     28          7/13            0       0       
625     1       34          ANY         400     28          8/13            0       0       
627     1       34          ANY         401     28          9/13            0       0       
628     1       34          ANY         402     28          10/13           0       0       
630     1       34          ANY         403     28          11/13           0       0       
631     1       34          ANY         404     28          12/13           0       0       
633     1       34          ANY         405     28          13/13           0       1       
634     1       20          ANY         406     29          0/13            1       0       
636     1       20          ANY         407     29          1/13            0       0       
638     1       20          ANY         408     29          2/13            0       0       
639     1       20          ANY         409     29          3/13            0       0       
641     1       20          ANY         410     29          4/13            0       0       
642     1       20          ANY         411     29          5/13            0       0       
644     1       20          ANY         412     29          6/13            0       0       
645     1       20          ANY         413     29          7/13            0       0       
647     1       20          ANY         414     29          8/13            0       0       
648     1       20          ANY         415     29          9/13            0       0       
650     1       20          ANY         416     29          10/13           0       0       
652     1       20          ANY         417     29          11/13           0       0       
653     1       20          ANY         418     29          12/13           0       0       
655     1       20          ANY         419     29          13/13           0       1       
656     1       19          ANY         420     30          0/13            1       0       
658     1       19          ANY         421     30          1/13            0       0       
659     1       19          ANY         422     30          2/13            0       0       
661     1       19          ANY         423     30          3/13            0       0       
662     1       19          ANY         424     30          4/13            0       0       
664     1       19          ANY         425     30          5/13            0       0       
666     1       19          ANY         426     30          6/13            0       0       
667     1       19          ANY         427     30          7/13            0       0       
669     1       19          ANY         428     30          8/13            0       0       
670     1       19          ANY         429     30          9/13            0       0       
672     1       19          ANY         430     30          10/13           0       0       
673     1       19          ANY         431     30          11/13           0       0       
675     1       19          ANY         432     30          12/13           0       0       
677     1       19          ANY         433     30          13/13           0       1       
678     1       22          ANY         434     31          0/13            1       0       
680     1       22          ANY         435     31          1/13            0       0       
681     1       22          ANY         436     31          2/13            0       0       
683     1       22          ANY         437     31          3/13            0       0       
684     1       22          ANY         438     31          4/13            0       0       
686     1       22          ANY         439     31          5/13            0       0       
688     1       22          ANY         440     31          6/13            0       0       
689     1       22          ANY         441     31          7/13            0       0       
691     1       22          ANY         442     31          8/13            0       0       
692     1       22          ANY         443     31          9/13            0       0       
694     1       22          ANY         444     31          10/13           0       0       
695     1       22          ANY         445     31          11/13           0       0       
697     1       22          ANY         446     31          12/13           0       0       
698     1       22          ANY         447     31          13/13           0       1       
700     1       25          ANY         448     32          0/13            1       0       
702     1       25          ANY         449     32          1/13            0       0       
703     1       25          ANY         450     32          2/13            0       0       
705     1       25          ANY         451     32          3/13            0       0       
706     1       25          ANY         452     32          4/13            0       0       
708     1       25          ANY         453     32          5/13            0       0       
709     1       25          ANY         454     32          6/13            0       0       
711     1       25          ANY         455     32          7/13            0       0       
712     1       25          ANY         456     32          8/13            0       0       
714     1       25          ANY         457     32          9/13            0       0       
716     1       25          ANY         458     32          10/13           0       0       
717     1       25          ANY         459     32          11/13           0       0       
719     1       25          ANY         460     32          12/13           0       0       
720     1       25          ANY         461     32          13/13           0       1       
722     1       26          ANY         462     33          0/13            1       0       
723     1       26          ANY         463     33          1/13            0       0       
725     1       26          ANY         464     33          2/13            0       0       
727     1       26          ANY         465     33          3/13            0       0       
728     1       26          ANY         466     33          4/13            0       0       
730     1       26          ANY         467     33          5/13            0       0       
731     1       26          ANY         468     33          6/13            0       0       
733     1       26          ANY         469     33          7/13            0       0       
734     1       26          ANY         470     33          8/13            0       0       
736     1       26          ANY         471     33          9/13            0       0       
738     1       26          ANY         472     33          10/13           0       0       
739     1       26          ANY         473     33          11/13           0       0       
741     1       26          ANY         474     33          12/13           0       0       
742     1       26          ANY         475     33          13/13           0       1       
744     1       27          ANY         476     34          0/13            1       0       
745     1       27          ANY         477     34          1/13            0       0       
747     1       27          ANY         478     34          2/13            0       0       
748     1       27          ANY         479     34          3/13            0       0       
750     1       27          ANY         480     34          4/13            0       0       
752     1       27          ANY         481     34          5/13            0       0       
753     1       27          ANY         482     34          6/13            0       0       
